|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||Türkiye-TR|
||||
2005|01-Ocak|0122101. (Su)|0.3165|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.406|
||0830009. (İnternet Ücreti)|13.6864|
|02-Şubat|0122101. (Su)|0.3144|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.4049|
||0830009. (İnternet Ücreti)|13.6917|
|03-Mart|0122101. (Su)|0.3172|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4236|
||0830009. (İnternet Ücreti)|13.6917|
|04-Nisan|0122101. (Su)|0.32|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.42|
||0830009. (İnternet Ücreti)|13.9496|
|05-Mayıs|0122101. (Su)|0.3158|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4242|
||0830009. (İnternet Ücreti)|14.2074|
|06-Haziran|0122101. (Su)|0.3109|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4258|
||0830009. (İnternet Ücreti)|14.7099|
|07-Temmuz|0122101. (Su)|0.3135|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4472|
||0830009. (İnternet Ücreti)|14.3048|
|08-Ağustos|0122101. (Su)|0.3101|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4474|
||0830009. (İnternet Ücreti)|14.2357|
|09-Eylül|0122101. (Su)|0.3182|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4672|
||0830009. (İnternet Ücreti)|13.5793|
|10-Ekim|0122101. (Su)|0.3159|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4675|
||0830009. (İnternet Ücreti)|13.0636|
|11-Kasım|0122101. (Su)|0.3184|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4878|
||0830009. (İnternet Ücreti)|13.0636|
|12-Aralık|0122101. (Su)|0.3215|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4878|
||0830009. (İnternet Ücreti)|11.3426|
2006|01-Ocak|0122101. (Su)|0.32|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0830009. (İnternet Ücreti)|76.43|
|02-Şubat|0122101. (Su)|0.3285|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.4841|
||0830009. (İnternet Ücreti)|76.4334|
|03-Mart|0122101. (Su)|0.329|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.5127|
||0830009. (İnternet Ücreti)|77.4654|
|04-Nisan|0122101. (Su)|0.33|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.5127|
||0830009. (İnternet Ücreti)|77.4654|
|05-Mayıs|0122101. (Su)|0.3308|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.5154|
||0830009. (İnternet Ücreti)|77.4654|
|06-Haziran|0122101. (Su)|0.3321|
||0451001. (Elektrik Ücreti)|0.1574|
||0452101. (Doğal Gaz)|0.5365|
